,NAME,DATE,PRCP,SNOW,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,YEAR,PRCP_calc,SNOW_calc,Weather_cond
0,"PROVIDENCE, RI US",2016-01-01,0.0,0.0,,,,,,,,,,2016,n,n,Clear/Cloudy
1,"PROVIDENCE, RI US",2016-01-02,0.0,0.0,,,,,,,,,,2016,n,n,Clear/Cloudy
2,"PROVIDENCE, RI US",2016-01-03,0.0,0.0,,,,,,,,,,2016,n,n,Clear/Cloudy
3,"PROVIDENCE, RI US",2016-01-04,0.0,0.3,1.0,,,,,,,,,2016,n,y,Snow
4,"PROVIDENCE, RI US",2016-01-05,0.0,0.0,,,,,,,,,,2016,n,n,Clear/Cloudy
5,"PROVIDENCE, RI US",2016-01-06,0.0,0.0,,,,,,,,,,2016,n,n,Clear/Cloudy
6,"PROVIDENCE, RI US",2016-01-07,0.0,0.0,,,,,,,,,,2016,n,n,Clear/Cloudy
7,"PROVIDENCE, RI US",2016-01-08,0.0,0.0,,,,,,,,,,2016,n,n,Clear/Cloudy
8,"PROVIDENCE, RI US",2016-01-09,0.0,0.0,,,,,,,,,,2016,n,n,Clear/Cloudy
9,"PROVIDENCE, RI US",2016-01-10,1.41,0.0,1.0,,1.0,,,,,,,2016,y,n,Thunderstorm
10,"PROVIDENCE, RI US",2016-01-11,0.0,0.0,,,,,,,,,,2016,n,n,Clear/Cloudy
11,"PROVIDENCE, RI US",2016-01-12,0.22,0.0,1.0,,,,,,,,,2016,y,n,Rain
12,"PROVIDENCE, RI US",2016-01-13,0.0,0.0,,,,,,,,,,2016,n,n,Clear/Cloudy
13,"PROVIDENCE, RI US",2016-01-14,0.0,0.0,,,,,,,,,,2016,n,n,Clear/Cloudy
14,"PROVIDENCE, RI US",2016-01-15,0.0,0.0,1.0,,,,,,,,,2016,n,n,Fog
15,"PROVIDENCE, RI US",2016-01-16,0.83,0.0,1.0,,,,,,,,,2016,y,n,Rain
16,"PROVIDENCE, RI US",2016-01-17,0.12,1.3,1.0,,,,,,,1.0,,2016,y,y,Snow
17,"PROVIDENCE, RI US",2016-01-18,0.02,0.4,1.0,,,,,,,,,2016,y,y,Snow
18,"PROVIDENCE, RI US",2016-01-19,0.0,0.0,,,,,,,,,,2016,n,n,Clear/Cloudy
19,"PROVIDENCE, RI US",2016-01-20,0.0,0.0,,,,,,,,,,2016,n,n,Clear/Cloudy
20,"PROVIDENCE, RI US",2016-01-21,0.0,0.0,,,,,,,,,,2016,n,n,Clear/Cloudy
21,"PROVIDENCE, RI US",2016-01-22,0.0,0.0,,,,,,,,,,2016,n,n,Clear/Cloudy
22,"PROVIDENCE, RI US",2016-01-23,0.43,5.3,1.0,,,,,,,,1.0,2016,y,y,Snow
23,"PROVIDENCE, RI US",2016-01-24,0.0,0.0,,,,,,,,1.0,,2016,n,n,Smoke
24,"PROVIDENCE, RI US",2016-01-25,0.0,0.0,,,,,,,,,,2016,n,n,Clear/Cloudy
25,"PROVIDENCE, RI US",2016-01-26,0.0,0.0,1.0,,,,,,,,,2016,n,n,Fog
26,"PROVIDENCE, RI US",2016-01-27,0.0,0.0,,,,,,,,,,2016,n,n,Clear/Cloudy
27,"PROVIDENCE, RI US",2016-01-28,0.0,0.0,,,,,,,,,,2016,n,n,Clear/Cloudy
28,"PROVIDENCE, RI US",2016-01-29,0.0,0.0,1.0,1.0,,,,,,1.0,,2016,n,n,Fog
29,"PROVIDENCE, RI US",2016-01-30,0.0,0.0,,,,,,,,,,2016,n,n,Clear/Cloudy
30,"PROVIDENCE, RI US",2016-01-31,0.0,0.0,,,,,,,,,,2016,n,n,Clear/Cloudy
31,"PROVIDENCE, RI US",2016-02-01,0.0,0.0,,,,,,,,,,2016,n,n,Clear/Cloudy
32,"PROVIDENCE, RI US",2016-02-02,0.0,0.0,,,,,,,,,,2016,n,n,Clear/Cloudy
