"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-01-01","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-01-02","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-01-03","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-01-04","0.00","T,,W,2400","0.3",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-01-05","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-01-06","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-01-07","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-01-08","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-01-09","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-01-10","1.41",",,W,2400","0.0",",,W,","    1",",,W",,,"    1",",,W",,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-01-11","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-01-12","0.22",",,W,2400","0.0","T,,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-01-13","0.00","T,,W,2400","0.0","T,,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-01-14","0.00","T,,W,2400","0.0","T,,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-01-15","0.00","T,,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-01-16","0.83",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-01-17","0.12",",,W,2400","1.3",",,W,","    1",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-01-18","0.02",",,W,2400","0.4",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-01-19","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-01-20","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-01-21","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-01-22","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-01-23","0.43",",,W,2400","5.3",",,W,","    1",",,W",,,,,,,,,,,,,,,"    1",",,W"
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-01-24","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,"    1",",,W",,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-01-25","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-01-26","0.00","T,,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-01-27","0.00","T,,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-01-28","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-01-29","0.00",",,W,2400","0.0",",,W,","    1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-01-30","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-01-31","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-02-01","0.00","T,,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-02-02","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-02-03","0.94",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-02-04","0.19",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-02-05","1.02",",,W,2400","5.1",",,W,","    1",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,
