Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
0500000US01001,1001,"Autauga County, Alabama",54571,54574,54754,55208,54936,54713,54876,54838,55242,55443,55601
0500000US01003,1003,"Baldwin County, Alabama",182265,182264,183111,186540,190143,194886,199189,202995,207712,212619,218022
0500000US01005,1005,"Barbour County, Alabama",27457,27457,27330,27350,27174,26944,26758,26294,25819,25158,24881
0500000US01007,1007,"Bibb County, Alabama",22915,22920,22872,22747,22664,22516,22541,22562,22576,22555,22400
0500000US01009,1009,"Blount County, Alabama",57322,57321,57373,57554,57570,57611,57521,57522,57517,57827,57840
0500000US01011,1011,"Bullock County, Alabama",10914,10911,10878,10677,10607,10551,10665,10400,10381,10176,10138
0500000US01013,1013,"Butler County, Alabama",20947,20943,20942,20878,20687,20374,20343,20176,20029,19898,19680
0500000US01015,1015,"Calhoun County, Alabama",118572,118594,118477,117797,117257,116541,115995,115536,115018,114664,114277
0500000US01017,1017,"Chambers County, Alabama",34215,34171,34122,34030,34104,34143,33980,34007,33771,33758,33615
0500000US01019,1019,"Cherokee County, Alabama",25989,25989,25974,25994,25963,26025,25902,25739,25776,25815,26032
0500000US01021,1021,"Chilton County, Alabama",43643,43630,43653,43687,43582,43634,43769,43717,43896,44117,44153
0500000US01023,1023,"Choctaw County, Alabama",13859,13858,13849,13607,13561,13396,13317,13233,13049,12935,12841
0500000US01025,1025,"Clarke County, Alabama",25833,25833,25765,25582,25154,25122,24865,24703,24349,24097,23920
0500000US01027,1027,"Clay County, Alabama",13932,13930,13897,13686,13432,13404,13440,13413,13393,13367,13275
0500000US01029,1029,"Cleburne County, Alabama",14972,14972,15004,14928,14889,14976,15025,14917,14853,14906,14987
0500000US01031,1031,"Coffee County, Alabama",49948,49952,50205,50435,51136,50677,50655,50952,51145,51777,51909
0500000US01033,1033,"Colbert County, Alabama",54428,54428,54525,54535,54572,54533,54468,54370,54367,54509,54762
0500000US01035,1035,"Conecuh County, Alabama",13228,13233,13234,13192,13044,12911,12679,12680,12501,12435,12277
0500000US01037,1037,"Coosa County, Alabama",11539,11758,11782,11487,11347,11256,11038,10938,10826,10757,10715
0500000US01039,1039,"Covington County, Alabama",37765,37766,37812,38019,37804,37812,37756,37551,37382,37078,36986
0500000US01041,1041,"Crenshaw County, Alabama",13906,13898,13874,13899,13921,13854,13859,13857,13922,13861,13824
0500000US01043,1043,"Cullman County, Alabama",80406,80406,80454,80401,80273,80688,81067,81764,82456,82836,83442
0500000US01045,1045,"Dale County, Alabama",50251,50249,50390,50112,50284,49772,49417,49349,49301,49254,48956
0500000US01047,1047,"Dallas County, Alabama",43820,43818,43860,43256,42795,41983,41562,40948,40092,39235,38310
0500000US01049,1049,"DeKalb County, Alabama",71109,71116,71159,71352,70937,70911,70999,71112,71101,71404,71385
0500000US01051,1051,"Elmore County, Alabama",79303,79293,79577,80009,80216,80569,80568,80924,81263,81416,81887
0500000US01053,1053,"Escambia County, Alabama",38319,38320,38344,38201,38023,37763,37738,37665,37488,36999,36748
0500000US01055,1055,"Etowah County, Alabama",104430,104427,104455,104358,104273,103883,103407,103003,102849,102937,102501
0500000US01057,1057,"Fayette County, Alabama",17241,17232,17227,17047,16941,16819,16768,16693,16555,16474,16433
0500000US01059,1059,"Franklin County, Alabama",31704,31709,31745,31771,31689,31552,31561,31541,31654,31590,31363
0500000US01061,1061,"Geneva County, Alabama",26790,26787,26782,26759,26927,26682,26597,26636,26498,26410,26314
0500000US01063,1063,"Greene County, Alabama",9045,9043,8995,8905,8850,8749,8585,8509,8483,8318,8233
0500000US01065,1065,"Hale County, Alabama",15760,15762,15745,15358,15360,15247,15047,15018,14835,14809,14726
0500000US01067,1067,"Henry County, Alabama",17302,17300,17298,17377,17156,17132,17082,17106,17083,17140,17209
0500000US01069,1069,"Houston County, Alabama",101547,101554,101790,102470,103365,103638,104156,104268,104239,104373,104722
0500000US01071,1071,"Jackson County, Alabama",53227,53224,53183,53209,53077,52958,52562,52218,52048,51907,51736
0500000US01073,1073,"Jefferson County, Alabama",658466,658506,658158,657973,657967,659196,659918,660370,660326,659546,659300
0500000US01075,1075,"Lamar County, Alabama",14564,14564,14494,14287,14245,14210,14067,13925,13927,13902,13844
0500000US01077,1077,"Lauderdale County, Alabama",92709,92709,92736,92606,92664,92706,93013,92477,92457,92591,92387
0500000US01079,1079,"Lawrence County, Alabama",34339,34339,34344,34049,33807,33577,33448,33138,33233,33077,32957
0500000US01081,1081,"Lee County, Alabama",140247,140300,140806,144130,148581,151831,154545,157009,159297,161641,163941
0500000US01083,1083,"Limestone County, Alabama",82782,82782,83173,85542,87313,88910,90596,91571,92841,94076,96174
0500000US01085,1085,"Lowndes County, Alabama",11299,11296,11289,11139,10853,10665,10498,10353,10253,10104,9974
0500000US01087,1087,"Macon County, Alabama",21452,21448,21505,21281,20611,20026,19648,19306,19064,18811,18439
0500000US01089,1089,"Madison County, Alabama",334811,334811,336093,339527,342713,346633,349807,352989,356821,361665,366519
0500000US01091,1091,"Marengo County, Alabama",21027,21038,20946,20651,20367,20114,19980,19760,19516,19366,19066
0500000US01093,1093,"Marion County, Alabama",30776,30776,30817,30651,30487,30228,30202,30123,29964,29771,29763
0500000US01095,1095,"Marshall County, Alabama",93019,93019,93124,93892,94268,94370,94277,94606,95123,95609,96109
0500000US01097,1097,"Mobile County, Alabama",412992,413145,413319,413242,413922,414210,414590,414935,415499,414515,413757
0500000US01099,1099,"Monroe County, Alabama",23068,23067,23007,22796,22582,22171,21927,21717,21545,21302,21067
0500000US01101,1101,"Montgomery County, Alabama",229363,229378,229510,229168,228861,228173,227546,227244,227072,227079,225763
0500000US01103,1103,"Morgan County, Alabama",119490,119486,119604,120013,120092,119574,119458,119281,118970,118811,119089
0500000US01105,1105,"Perry County, Alabama",10591,10579,10567,10455,10171,10005,9804,9638,9528,9319,9140
0500000US01107,1107,"Pickens County, Alabama",19746,19746,19749,19354,19312,19305,20283,20776,20309,20182,19938
0500000US01109,1109,"Pike County, Alabama",32899,32895,32963,33017,33210,33713,33197,33522,33521,33435,33338
0500000US01111,1111,"Randolph County, Alabama",22913,22916,22937,22743,22534,22548,22355,22598,22508,22683,22725
0500000US01113,1113,"Russell County, Alabama",52947,52947,53307,54831,57482,59133,59211,58837,58208,57028,57781
0500000US01115,1115,"St. Clair County, Alabama",83593,83345,83566,83963,84748,85805,85995,86546,87323,87976,88690
0500000US01117,1117,"Shelby County, Alabama",195085,195313,196095,197992,200964,204108,206356,209084,211430,213729,215707
0500000US01119,1119,"Sumter County, Alabama",13763,13763,13730,13491,13441,13396,13275,13206,12974,12780,12691
0500000US01121,1121,"Talladega County, Alabama",82291,82283,82100,81777,82078,81513,81450,81055,80468,80022,79828
0500000US01123,1123,"Tallapoosa County, Alabama",41616,41618,41476,41397,41044,41028,40887,40611,40570,40613,40497
0500000US01125,1125,"Tuscaloosa County, Alabama",194656,194668,194996,196719,198794,201084,203097,204736,206614,207709,208911
0500000US01127,1127,"Walker County, Alabama",67023,67023,66997,66577,66096,65768,65336,64933,64548,63935,63711
0500000US01129,1129,"Washington County, Alabama",17581,17581,17627,17354,17146,16897,16868,16828,16610,16532,16378
0500000US01131,1131,"Wilcox County, Alabama",11670,11667,11564,11442,11308,11152,10953,10903,10851,10712,10627
0500000US01133,1133,"Winston County, Alabama",24484,24488,24412,24358,24190,24186,24137,23929,23906,23745,23660
0500000US02013,2013,"Aleutians East Borough, Alaska",3141,3141,3166,3260,3295,3345,3348,3381,3388,3495,3515
0500000US02016,2016,"Aleutians West Census Area, Alaska",5561,5561,5560,5581,5675,5777,5822,5781,5698,5726,5723
0500000US02020,2020,"Anchorage Municipality, Alaska",291826,291829,293310,296154,298233,301155,299927,297613,297216,294264,291538
0500000US02050,2050,"Bethel Census Area, Alaska",17013,17013,17085,17415,17654,17847,17933,17955,18019,18079,18216
0500000US02060,2060,"Bristol Bay Borough, Alaska",997,997,1002,1030,980,952,949,905,903,870,877
0500000US02068,2068,"Denali Borough, Alaska",1826,1822,1835,1872,1908,1942,1915,1927,2039,2066,2059
0500000US02070,2070,"Dillingham Census Area, Alaska",4847,4847,4850,4948,4951,4979,4983,4987,4970,4935,5000
0500000US02090,2090,"Fairbanks North Star Borough, Alaska",97581,97585,98260,98104,100305,100928,99256,99630,100683,99725,98971
0500000US02100,2100,"Haines Borough, Alaska",2508,2508,2501,2573,2577,2558,2555,2516,2527,2518,2474
0500000US02105,2105,"Hoonah-Angoon Census Area, Alaska",2150,2109,2113,2090,2120,2121,2103,2137,2128,2139,2151
0500000US02110,2110,"Juneau City and Borough, Alaska",31275,31275,31386,32152,32378,32587,32476,32601,32400,32061,32113
0500000US02122,2122,"Kenai Peninsula Borough, Alaska",55400,55400,55561,56302,56906,57015,57565,58029,58452,58522,58533
0500000US02130,2130,"Ketchikan Gateway Borough, Alaska",13477,13519,13566,13665,13723,13716,13801,13706,13714,13882,13918
0500000US02150,2150,"Kodiak Island Borough, Alaska",13592,13606,13650,13806,14038,14089,13904,13766,13710,13519,13345
0500000US02158,2158,"Kusilvak Census Area, Alaska",7459,7459,7465,7648,7791,7972,8098,8187,8174,8230,8303
0500000US02164,2164,"Lake and Peninsula Borough, Alaska",1631,1635,1639,1648,1647,1665,1645,1592,1598,1607,1587
0500000US02170,2170,"Matanuska-Susitna Borough, Alaska",88995,88992,89735,91716,93670,95877,98104,101068,104157,106383,107610
0500000US02180,2180,"Nome Census Area, Alaska",9492,9492,9544,9775,9819,9845,9803,9885,9961,9968,10008
0500000US02185,2185,"North Slope Borough, Alaska",9430,9430,9476,9550,9692,9786,9769,9795,9718,9831,9872
0500000US02188,2188,"Northwest Arctic Borough, Alaska",7523,7523,7559,7705,7707,7725,7771,7771,7689,7767,7671
0500000US02195,2195,"Petersburg Borough, Alaska",3815,3207,3219,3254,3278,3293,3265,3259,3270,3259,3221
0500000US02198,2198,"Prince of Wales-Hyder Census Area, Alaska",5559,6170,6213,6374,6421,6443,6460,6505,6516,6469,6422
0500000US02220,2220,"Sitka City and Borough, Alaska",8881,8881,8881,8886,9019,8973,8839,8778,8738,8686,8647
0500000US02230,2230,"Skagway Municipality, Alaska",968,968,968,962,999,1025,1053,1087,1132,1162,1148
0500000US02240,2240,"Southeast Fairbanks Census Area, Alaska",7029,7029,7061,7148,7170,6984,6922,6804,6849,6885,6918
0500000US02261,2261,"Valdez-Cordova Census Area, Alaska",9636,9636,9655,9738,9730,9776,9475,9322,9318,9224,9164
0500000US02275,2275,"Wrangell City and Borough, Alaska",2369,2365,2371,2395,2425,2455,2447,2459,2501,2511,2503
0500000US02282,2282,"Yakutat City and Borough, Alaska",662,662,662,656,664,651,655,635,613,607,604
0500000US02290,2290,"Yukon-Koyukuk Census Area, Alaska",5588,5588,5613,5631,5624,5564,5464,5466,5423,5396,5327
0500000US04001,4001,"Apache County, Arizona",71518,71517,71832,72186,72238,72341,71820,71022,71403,71545,71818
0500000US04003,4003,"Cochise County, Arizona",131346,131357,131822,133111,132026,129608,127352,126502,125782,124990,126770
0500000US04005,4005,"Coconino County, Arizona",134421,134431,134618,134269,136152,136713,137583,139024,140515,141107,142854
0500000US04007,4007,"Gila County, Arizona",53597,53594,53571,53444,53003,53022,53070,53006,53404,53629,53889
0500000US04009,4009,"Graham County, Arizona",37220,37219,37159,37134,37024,37454,38124,37873,37823,37501,38072
0500000US04011,4011,"Greenlee County, Arizona",8437,8437,8332,8577,8756,8908,9341,9575,9651,9468,9483
0500000US04012,4012,"La Paz County, Arizona",20489,20489,20497,20608,20530,20532,20529,20483,20661,20735,21098
0500000US04013,4013,"Maricopa County, Arizona",3817117,3817359,3825191,3875065,3948225,4019019,4095508,4175049,4258603,4329580,4410824
0500000US04015,4015,"Mohave County, Arizona",200186,200182,200315,202801,203356,203158,203474,204661,205521,207114,209550
0500000US04017,4017,"Navajo County, Arizona",107449,107488,107696,107545,107314,107145,107724,107688,108523,109144,110445
0500000US04019,4019,"Pima County, Arizona",980263,980263,981653,988407,993215,997437,1004675,1009737,1017624,1027502,1039073
0500000US04021,4021,"Pinal County, Arizona",375770,375768,379547,378760,382828,385656,395915,406073,417363,432114,447138
